tweet_id,timestamp,text,rating_numerator,rating_denominator,name,breed,confidence_level,likes,retweets,dog_stage
890240255349198849,2017-07-26 15:59:51+00:00,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14.0,10.0,Cassie,pembroke,0.511319,28493,6210,doggo
759793422261743616,2016-07-31 16:50:42+00:00,"Meet Maggie &amp; Lila. Maggie is the doggo, Lila is the pupper. They are sisters. Both 12/10 would pet at the same time https://t.co/MYwR4DQKll",12.0,10.0,Maggie,golden_retriever,0.985876,5689,1796,doggo
760521673607086080,2016-08-02 17:04:31+00:00,"Doggo want what doggo cannot have. Temptation strong, dog stronger. 12/10  https://t.co/IqyTF6qik6",12.0,10.0,None,,,4003,1310,doggo
760893934457552897,2016-08-03 17:43:45+00:00,This is Wishes. He has the day off. Daily struggles of being a doggo have finally caught up with him. 11/10 https://t.co/H9YgrUkYwa,11.0,10.0,Wishes,blenheim_spaniel,0.113992,3640,912,doggo
763956972077010945,2016-08-12 04:35:10+00:00,@TheEllenShow I'm not sure if you know this but that doggo right there is a 12/10,12.0,10.0,None,,,740,51,doggo
767191397493538821,2016-08-21 02:47:37+00:00,I don't know any of the backstory behind this picture but for some reason I'm crying. 13/10 for owner and doggo https://t.co/QOKZdus9TT,13.0,10.0,None,,,11774,3563,doggo
768193404517830656,2016-08-23 21:09:14+00:00,Meet Gerald. He's a fairly exotic doggo. Floofy af. Inadequate knees tho. Self conscious about large forehead. 8/10 https://t.co/WmczvjCWJq,8.0,10.0,Gerald,,,10407,3338,doggo
771908950375665664,2016-09-03 03:13:29+00:00,"Doggo will persevere. 13/10
https://t.co/yOVzAomJ6k",13.0,10.0,None,,,6298,1791,doggo
758828659922702336,2016-07-29 00:57:05+00:00,This doggo is just waiting for someone to be proud of her and her accomplishment. 13/10 legendary af https://t.co/9T2h14yn4Q,13.0,10.0,None,chesapeake_bay_retriever,0.480048,10698,3633,doggo
775364825476165632,2016-09-12 16:05:54+00:00,This is Finley. He's an independent doggo still adjusting to life on his own. 11/10 https://t.co/7FNcBaKbci,11.0,10.0,Finley,beagle,0.571229,7086,2793,doggo
